Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG
2022-08-20,Hapoel Haifa,Hapoel Tel Aviv,2,0,H,1,0
2022-08-20,Hapoel Katamon,Hapoel Hadera,1,1,D,1,0
2022-08-20,Maccabi Netanya,Beitar Jerusalem,4,1,H,3,1
2022-08-21,Maccabi Tel Aviv,Maccabi Bnei Raina,5,0,H,4,0
2022-08-22,Sektzia Nes Tziona,Ironi Kiryat Shmona,0,2,A,0,1
2022-08-27,Ironi Kiryat Shmona,Hapoel Katamon,1,1,D,1,0
2022-08-27,Hapoel Tel Aviv,Bnei Sakhnin,0,2,A,0,2
2022-08-27,Maccabi Haifa,Maccabi Netanya,4,1,H,1,1
2022-08-27,Ashdod,Sektzia Nes Tziona,1,0,H,1,0
2022-08-28,Maccabi Bnei Raina,Hapoel Haifa,1,1,D,0,0
2022-08-28,Beitar Jerusalem,Hapoel Beer Sheva,0,5,A,0,1
2022-08-29,Hapoel Hadera,Maccabi Tel Aviv,0,6,A,0,4
2022-08-30,Bnei Sakhnin,Maccabi Haifa,0,1,A,0,0
2022-08-31,Hapoel Beer Sheva,Ashdod,1,2,A,1,1
2022-09-03,Maccabi Tel Aviv,Ironi Kiryat Shmona,3,1,H,1,0
2022-09-03,Hapoel Katamon,Ashdod,3,0,H,1,0
2022-09-03,Hapoel Haifa,Bnei Sakhnin,1,2,A,0,0
2022-09-03,Hapoel Beer Sheva,Maccabi Haifa,1,2,A,1,1
2022-09-04,Maccabi Bnei Raina,Hapoel Hadera,1,2,A,1,1
2022-09-04,Sektzia Nes Tziona,Beitar Jerusalem,0,3,A,0,0
2022-09-05,Maccabi Netanya,Hapoel Tel Aviv,0,2,A,0,1
2022-09-10,Maccabi Haifa,Sektzia Nes Tziona,3,1,H,1,1
2022-09-10,Bnei Sakhnin,Maccabi Netanya,0,0,D,0,0
2022-09-10,Hapoel Hadera,Hapoel Haifa,1,1,D,0,0
2022-09-10,Ashdod,Maccabi Tel Aviv,0,0,D,0,0
2022-09-11,Ironi Kiryat Shmona,Maccabi Bnei Raina,1,1,D,1,1
2022-09-11,Hapoel Tel Aviv,Hapoel Beer Sheva,2,3,A,1,0
2022-09-12,Beitar Jerusalem,Hapoel Katamon,0,1,A,0,1
2022-09-17,Sektzia Nes Tziona,Hapoel Tel Aviv,4,3,H,2,3
2022-09-17,Maccabi Bnei Raina,Ashdod,1,1,D,0,0
2022-09-17,Hapoel Haifa,Maccabi Netanya,0,0,D,0,0
2022-09-17,Maccabi Tel Aviv,Beitar Jerusalem,4,0,H,2,0
2022-09-18,Hapoel Hadera,Ironi Kiryat Shmona,1,1,D,0,0
2022-09-18,Hapoel Beer Sheva,Bnei Sakhnin,1,0,H,0,0
2022-09-18,Hapoel Katamon,Maccabi Haifa,3,0,H,2,0
2022-10-01,Ironi Kiryat Shmona,Hapoel Haifa,1,1,D,0,1
2022-10-01,Ashdod,Hapoel Hadera,1,1,D,0,0
2022-10-01,Maccabi Netanya,Hapoel Beer Sheva,1,2,A,0,0
2022-10-01,Maccabi Haifa,Maccabi Tel Aviv,2,0,H,0,0
2022-10-02,Bnei Sakhnin,Sektzia Nes Tziona,2,0,H,1,0
2022-10-02,Hapoel Tel Aviv,Hapoel Katamon,1,3,A,1,2
2022-10-03,Beitar Jerusalem,Maccabi Bnei Raina,2,3,A,1,1
2022-10-08,Sektzia Nes Tziona,Maccabi Netanya,1,1,D,1,1
2022-10-08,Hapoel Katamon,Bnei Sakhnin,1,2,A,0,1
2022-10-08,Hapoel Hadera,Beitar Jerusalem,2,1,H,2,0
2022-10-08,Maccabi Bnei Raina,Maccabi Haifa,1,0,H,1,0
2022-10-10,Ironi Kiryat Shmona,Ashdod,1,1,D,0,1
2022-10-10,Hapoel Beer Sheva,Hapoel Haifa,2,2,D,1,1
2022-10-10,Maccabi Tel Aviv,Hapoel Tel Aviv,3,0,H,0,0
2022-10-15,Hapoel Tel Aviv,Maccabi Bnei Raina,2,0,H,0,0
2022-10-15,Ashdod,Hapoel Haifa,4,0,H,2,0
2022-10-15,Beitar Jerusalem,Ironi Kiryat Shmona,2,0,H,0,0
2022-10-15,Bnei Sakhnin,Maccabi Tel Aviv,0,1,A,0,0
2022-10-17,Maccabi Netanya,Hapoel Katamon,0,2,A,0,0
2022-10-17,Hapoel Beer Sheva,Sektzia Nes Tziona,1,1,D,0,1
2022-10-17,Maccabi Haifa,Hapoel Hadera,1,0,H,0,0
2022-10-22,Hapoel Katamon,Hapoel Beer Sheva,1,4,A,1,3
2022-10-22,Hapoel Haifa,Sektzia Nes Tziona,0,1,A,0,0
2022-10-22,Ashdod,Beitar Jerusalem,0,2,A,0,1
2022-10-22,Ironi Kiryat Shmona,Maccabi Haifa,2,3,A,1,1
2022-10-23,Maccabi Bnei Raina,Bnei Sakhnin,2,0,H,1,0
2022-10-23,Hapoel Hadera,Hapoel Tel Aviv,0,0,D,0,0
2022-10-24,Maccabi Tel Aviv,Maccabi Netanya,3,0,H,2,0
2022-10-29,Maccabi Haifa,Ashdod,3,1,H,2,1
2022-10-29,Bnei Sakhnin,Hapoel Hadera,1,4,A,1,3
2022-10-29,Sektzia Nes Tziona,Hapoel Katamon,0,2,A,0,1
2022-10-29,Maccabi Netanya,Maccabi Bnei Raina,2,1,H,1,1
2022-10-29,Beitar Jerusalem,Hapoel Haifa,0,0,D,0,0
2022-10-30,Hapoel Tel Aviv,Ironi Kiryat Shmona,2,1,H,1,1
2022-10-31,Hapoel Beer Sheva,Maccabi Tel Aviv,2,0,H,1,0
2022-11-05,Maccabi Tel Aviv,Sektzia Nes Tziona,1,1,D,1,1
2022-11-05,Hapoel Hadera,Maccabi Netanya,3,1,H,3,1
2022-11-05,Hapoel Haifa,Hapoel Katamon,1,0,H,0,0
2022-11-05,Ironi Kiryat Shmona,Bnei Sakhnin,1,1,D,0,1
2022-11-05,Ashdod,Hapoel Tel Aviv,1,0,H,0,0
2022-11-06,Maccabi Bnei Raina,Hapoel Beer Sheva,0,3,A,0,1
2022-11-06,Beitar Jerusalem,Maccabi Haifa,1,4,A,1,1
2022-11-08,Bnei Sakhnin,Ashdod,1,1,D,1,1
2022-11-08,Maccabi Netanya,Ironi Kiryat Shmona,1,0,H,1,0
2022-11-08,Hapoel Katamon,Maccabi Tel Aviv,0,3,A,0,1
2022-11-09,Sektzia Nes Tziona,Maccabi Bnei Raina,3,3,D,2,1
